Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/auth/login,5,0,680,717.7160745997753,639.8154879998401,932.3408390000623,231.0,0.17303190922689435,0.0,680,690,690,930,930,930,930,930,930,930,930
GET,/api/dashboard/kpis,13,0,5.006356000194501,5.966764922959555,5.006356000194501,11.590901000090525,199.0,0.44988296398992533,0.0,5,6,6,6,6,12,12,12,12,12,12
GET,/api/dashboard/report,20,0,6,20.819071200185135,5.201666000175464,292.99673400055326,1735.6,0.6921276369075774,0.0,6,6,7,7,12,290,290,290,290,290,290
GET,/api/dashboard/report [no auth],96,96,5,14.466294552136105,4.38147100066999,417.18937600035133,30.0,3.3222126571563715,3.3222126571563715,5,5,6,6,10,61,190,420,420,420,420
POST,/api/quantum/execute,3,0,10.033225999904971,260.77478666654014,10.033225999904971,762.2571109995988,650.6666666666666,0.10381914553613661,0.0,10,10,760,760,760,760,760,760,760,760,760
GET,/api/quantum/gates,6,0,5.1128509994669,5.718351833365887,5.1128509994669,6.607370999518025,965.0,0.20763829107227322,0.0,6,6,7,7,7,7,7,7,7,7,7
GET,/api/quantum/history,10,0,6,7.857988700015994,5.157426000550913,16.154826999809302,390.2,0.3460638184537887,0.0,6,6,10,12,16,16,16,16,16,16,16
GET,/health,18,0,5,22.03742922216002,4.390044000501803,290.2850020000187,61.0,0.6229148732168197,0.0,5,6,7,8,19,290,290,290,290,290,290
,Aggregated,171,96,5,39.550772526344886,4.38147100066999,932.3408390000623,316.233918128655,5.917691295559787,3.3222126571563715,5,6,7,7,14,290,680,760,930,930,930
